,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Northam,51.0333,-4.2167,61.61,94,100,8.75,GB,1666215251
1,Port Macquarie,-31.4333,152.9167,64.89,100,100,5.75,AU,1666215093
2,Ushuaia,-54.8,-68.3,40.66,87,75,24.16,AR,1666215132
3,Kapaa,22.0752,-159.319,76.98,86,100,14.97,US,1666215074
4,Cape Town,-33.9258,18.4232,64.81,72,75,10.36,ZA,1666214987
5,Kiryat Gat,31.61,34.7642,70.48,70,74,2.1,IL,1666215252
6,Saint-François,46.4154,3.9054,60.24,82,0,3.44,FR,1666215124
7,Punta Arenas,-53.15,-70.9167,42.91,75,75,26.46,CL,1666215136
8,Antofagasta,-23.65,-70.4,60.08,72,24,9.15,CL,1666214998
9,Saint-Philippe,-21.3585,55.7679,67.59,73,35,8.16,RE,1666215152
10,Jamestown,42.097,-79.2353,40.01,78,100,17.27,US,1666215001
11,Albany,42.6001,-73.9662,48.61,59,97,9.62,US,1666214600
12,Ixtapa,20.7,-105.2,85.23,79,100,9.22,MX,1666215207
13,Tiksi,71.6872,128.8694,12.38,92,90,8.48,RU,1666215210
14,Ribeira Grande,38.5167,-28.7,65.77,75,100,5.99,PT,1666215171
15,Hilo,19.7297,-155.09,87.28,69,0,7.0,US,1666215142
16,Vaini,-21.2,-175.2,77.16,94,75,10.36,TO,1666215135
17,Prome,18.8167,95.2167,71.96,87,12,5.26,MM,1666215253
18,Puerto Ayora,-0.7393,-90.3518,75.16,85,93,7.0,EC,1666215116
19,Yellowknife,62.456,-114.3525,43.32,93,75,12.66,CA,1666215149
20,Kovdor,67.5662,30.4758,33.01,84,100,13.35,RU,1666215253
21,Sinnamary,5.3833,-52.95,79.83,83,65,9.95,GF,1666215254
22,Port Alfred,-33.5906,26.891,73.58,82,41,10.67,ZA,1666215138
23,Inírida,3.8653,-67.9239,77.2,92,98,2.77,CO,1666215254
24,Preston,53.7667,-2.7167,54.32,82,100,22.66,GB,1666215254
25,São Filipe,14.8961,-24.4956,79.36,81,33,4.07,CV,1666215148
26,Rikitea,-23.1203,-134.9692,70.0,72,99,18.48,PF,1666215131
27,Bluff,-46.6,168.3333,50.29,69,93,27.25,NZ,1666215147
28,Mombetsu,44.3525,143.3525,49.3,63,7,13.35,JP,1666215255
29,Kismayo,-0.3582,42.5454,76.8,80,8,14.27,SO,1666215255
30,Saskylakh,71.9167,114.0833,3.04,95,95,4.09,RU,1666215243
31,Karatau,43.1667,70.4667,42.06,63,10,5.99,KZ,1666215256
32,Lüderitz,-26.6481,15.1594,60.22,90,11,15.05,NA,1666215205
33,Grand Gaube,-20.0064,57.6608,70.2,74,25,4.0,MU,1666215197
34,Carnarvon,-24.8667,113.6333,65.05,85,5,10.47,AU,1666215176
35,Mobai,7.9944,-10.7511,72.55,97,100,1.23,SL,1666215256
36,Arraial do Cabo,-22.9661,-42.0278,73.26,88,75,14.97,BR,1666214950
37,Koslan,63.4564,48.8989,33.84,89,100,9.51,RU,1666215256
38,Mayo,38.8876,-76.5119,56.17,55,100,5.75,US,1666215257
39,La Santisima Trinidad,-14.8333,-64.9,91.38,58,20,6.91,BO,1666215257
40,Henties Bay,-22.116,14.2845,59.23,87,98,9.64,NA,1666215257
41,Busselton,-33.65,115.3333,57.61,85,96,6.93,AU,1666215136
42,Tyup,42.7276,78.3648,34.29,83,100,2.26,KG,1666215258
43,Bethel,41.3712,-73.414,52.11,56,100,9.22,US,1666215139
44,Thompson,55.7435,-97.8558,41.16,75,40,10.36,CA,1666215169
45,Majene,-3.5403,118.9707,77.81,88,100,4.21,ID,1666215258
46,Moshi,-3.35,37.3333,70.18,80,91,5.68,TZ,1666215259
47,Sayyan,15.1718,44.3244,54.86,31,0,3.62,YE,1666215259
48,Dingle,10.9995,122.6711,76.73,89,100,2.17,PH,1666215259
49,Atar,20.5169,-13.0499,89.01,14,28,7.16,MR,1666215260
50,Yambio,4.5721,28.3955,68.5,94,70,1.36,SS,1666215260
51,Kloulklubed,7.0419,134.2556,77.5,74,100,12.55,PW,1666215260
52,Kaitangata,-46.2817,169.8464,55.49,46,85,12.53,NZ,1666215141
53,Emilio Carranza,19.9711,-96.6114,66.97,85,100,20.13,MX,1666215261
54,Nampula,-15.1165,39.2666,71.55,73,0,10.36,MZ,1666215261
55,Matamoros,25.5333,-103.25,71.71,45,40,0.0,MX,1666215261
56,Cap Malheureux,-19.9842,57.6142,67.46,74,22,4.0,MU,1666215193
57,Polis,35.0367,32.4264,73.22,94,68,3.89,CY,1666215261
58,Magadan,59.5667,150.8,11.53,55,44,11.48,RU,1666215262
59,Butaritari,3.0707,172.7902,81.86,69,100,15.05,KI,1666215173
60,Killybegs,54.6333,-8.45,53.38,86,100,24.94,IE,1666215262
61,Hong Kong,22.2855,114.1577,75.25,65,85,4.0,HK,1666214933
62,Tapiramutá,-11.8472,-40.7914,70.75,54,31,7.49,BR,1666215262
63,Sola,-13.8833,167.55,81.27,94,75,0.0,VU,1666215284
64,Tuktoyaktuk,69.4541,-133.0374,26.6,86,75,5.75,CA,1666215132
65,Hobart,-42.8794,147.3294,55.26,74,20,5.75,AU,1666215009
66,Souillac,-20.5167,57.5167,70.18,68,20,6.91,MU,1666215222
67,Wenatchee,47.4235,-120.3103,85.66,37,0,4.61,US,1666215182
68,Cabo San Lucas,22.8909,-109.9124,89.62,65,20,4.61,MX,1666215198
69,Qaanaaq,77.484,-69.3632,-0.45,68,0,10.38,GL,1666215139
70,Port Hardy,50.6996,-127.4199,53.78,94,100,0.0,CA,1666215284
71,Atuona,-9.8,-139.0333,76.82,67,1,13.06,PF,1666215137
72,Khatanga,71.9667,102.5,19.98,96,100,6.6,RU,1666215188
73,Nikolskoye,59.7035,30.7861,39.09,88,85,4.61,RU,1666215150
74,Vestmannaeyjar,63.4427,-20.2734,44.6,74,100,8.3,IS,1666215149
75,Narsaq,60.9167,-46.05,41.22,68,21,17.56,GL,1666215216
76,Mar del Plata,-38.0023,-57.5575,64.09,96,75,18.01,AR,1666215162
77,Verkhnyaya Inta,65.9811,60.3094,33.12,99,100,11.32,RU,1666215285
78,Codrington,-38.2667,141.9667,54.79,88,12,9.8,AU,1666215243
79,Dunedin,-45.8742,170.5036,54.81,67,91,1.01,NZ,1666215046
80,Iqaluit,63.7506,-68.5145,24.53,63,20,10.36,CA,1666215238
81,Avarua,-21.2078,-159.775,80.65,65,20,17.27,CK,1666215141
82,Izumo,35.3667,132.7667,49.95,100,40,8.05,JP,1666215286
83,New Norfolk,-42.7826,147.0587,54.91,60,63,1.01,AU,1666215143
84,Fort Nelson,58.8053,-122.7002,63.95,42,40,3.0,CA,1666215017
85,Khovd,48.0056,91.6419,30.25,60,28,3.49,MN,1666215252
86,Vardø,70.3705,31.1107,35.58,69,100,23.02,NO,1666215286
87,Korla,41.7597,86.1469,53.11,42,61,16.6,CN,1666215191
88,Bara,10.3744,10.7288,77.41,41,24,3.18,NG,1666215287
89,Merta,26.65,74.0333,73.15,33,37,8.93,IN,1666215287
90,Mataura,-46.1927,168.8643,53.31,51,58,10.8,NZ,1666215032
91,Upington,-28.4478,21.2561,75.58,38,21,6.91,ZA,1666215287
92,Beringovskiy,63.05,179.3167,36.88,85,18,10.6,RU,1666215202
93,Esperance,-33.8667,121.9,65.5,51,22,17.07,AU,1666215137
94,Lavrentiya,65.5833,-171.0,35.94,89,100,25.97,RU,1666215198
95,Kenai,60.5544,-151.2583,48.15,81,0,12.66,US,1666215288
96,Chui,-33.6971,-53.4616,59.97,94,9,8.3,UY,1666215138
97,Tasiilaq,65.6145,-37.6368,32.16,91,100,7.58,GL,1666215112
98,Porto-Novo,6.4965,2.6036,80.42,87,31,7.0,BJ,1666215288
99,Zhangaözen,43.3,52.8,54.73,49,100,19.26,KZ,1666215288
100,Sept-Îles,50.2001,-66.3821,50.52,98,100,23.02,CA,1666215012
101,Bambous Virieux,-20.3428,57.7575,70.05,68,20,6.91,MU,1666215147
102,Sangar,63.9242,127.4739,12.83,98,97,1.52,RU,1666215289
103,Nur,52.6683,22.3221,40.68,86,7,9.48,PL,1666215289
104,Muros,42.7762,-9.0603,59.85,85,21,23.13,ES,1666215289
105,Acapulco de Juárez,16.8634,-99.8901,82.22,69,100,13.8,MX,1666215240
106,Mount Isa,-20.7333,139.5,73.17,49,40,6.91,AU,1666215207
107,Olafsvik,64.8945,-23.7142,44.73,83,100,18.41,IS,1666215290
108,Hlatikulu,-26.9667,31.3167,59.47,92,90,1.7,SZ,1666215290
109,Kavieng,-2.5744,150.7967,83.5,73,99,11.99,PG,1666215267
110,Sobolevo,54.4299,31.8996,37.42,96,100,13.02,RU,1666215290
111,Lorengau,-2.0226,147.2712,83.93,67,100,6.46,PG,1666215150
112,Rochegda,62.8,43.25,35.83,88,100,8.37,RU,1666215291
113,Bridlington,54.0831,-0.1919,55.02,85,82,18.99,GB,1666215291
114,Port Lincoln,-34.7333,135.8667,59.63,81,36,12.77,AU,1666215018
115,Constitución,-35.3333,-72.4167,57.96,79,8,10.54,CL,1666214919
116,Norman Wells,65.282,-126.8329,33.84,93,100,16.11,CA,1666215206
117,Mahébourg,-20.4081,57.7,70.09,68,20,6.91,MU,1666215130
118,Christchurch,-43.5333,172.6333,60.42,62,68,13.8,NZ,1666215292
119,Comodoro Rivadavia,-45.8667,-67.5,73.26,28,0,32.21,AR,1666215292
120,Ushtobe,45.2514,77.9838,43.03,47,86,9.17,KZ,1666215241
121,Bredasdorp,-34.5322,20.0403,61.23,85,94,10.6,ZA,1666215134
122,Faanui,-16.4833,-151.75,78.19,76,8,6.67,PF,1666215153
123,Saint George,37.1041,-113.5841,83.95,15,0,6.91,US,1666215238
124,Hofn,64.2539,-15.2082,42.44,67,6,5.77,IS,1666215293
125,Hermanus,-34.4187,19.2345,62.8,92,95,13.27,ZA,1666215038
126,Gladstone,-23.85,151.25,71.53,88,75,4.61,AU,1666215293
127,Torbay,47.6666,-52.7314,56.75,94,75,10.36,CA,1666215205
128,Manavālakurichi,8.1333,77.3,77.52,87,91,10.92,IN,1666215293
129,Grindavik,63.8424,-22.4338,41.47,93,100,8.05,IS,1666215219
130,Nouadhibou,20.931,-17.0347,78.78,57,0,14.97,MR,1666215226
131,Marawi,7.9986,124.2928,69.84,92,100,3.65,PH,1666215294
132,Ponta do Sol,32.6667,-17.1,75.0,75,100,9.73,PT,1666215143
133,Itarema,-2.9248,-39.9167,79.27,79,53,16.64,BR,1666215280
134,Morondava,-20.2833,44.2833,76.64,85,5,5.08,MG,1666215294
135,Palmer,42.1584,-72.3287,51.66,47,75,11.5,US,1666215264
136,Xingyi,24.1877,102.817,46.15,75,25,1.68,CN,1666215294
